OBJECTID,Event_ID,EvB_Wpt_Id,SwB_Wpt_ID,Event_Date,CPA,ObType,ObOrder,ObOrder2,Year_,Ship,Observer,ObLocation,Approx,Species,Count_,IS_WW,WW_Speed,LAT,LONG_,Y_PROJ,X_PROJ,NDateS,NDateD,WptID,DateD,TimeD,DateTim,DateTxt,TimeTxt,TrkID,Vessel_Azi,X_GPS_UTM,Y_GPS_UTM,Vessel_Kts,X_BB_UTM,Y_BB_UTM,X_MM_UTM,Y_MM_UTM,BB_MM_Azi,BB_MM_Dist,BB_MM_Bear,Subarea1,Subarea2,Subarea3,VslDepth_m,VslDstSh_m,MMDepth_m,MMDstSh_m,RadComment,RadContact,RadioBy,RadioResp,RadioTime,R_Contact,Month_,season,Direction,Orientation,Behavior,Clouds,Rain,Wind,SeaState,Visibility,Shape
647,2010-07-19-K,2010-07-19-K-029,2010-07-19-K-028,7/19/2010,N,MultiOb,3,2,2010,Zaandam,Karin,Starboard,y,humpback whale,1,n,0,58.32355686,0,58.32355686,-135.9045985,7/19/2010,7/19/2010,28,7/19/2010,6:18:52,7/19/2010,20100719,06:18:52,1475,296.6425778,447014.0556,6465089.644,9.691649961,446999.5727,6465094.672,446396.2488,6465743.929,317.1001512,886.3039673,20.45757335,Lower Bay,Outside,Outside,-33,6141.0663,-37,5478.682922,,,,,,,7,1,T-Toward,90-Perpendicular,BL-Blowing,100,none,light,calm,excellent,
648,2009-06-28-K,2009-06-28-K-019,2009-06-28-K-019,6/28/2009,Y,Single,1,1,2009,Volendam,Karin,Starboard,n,humpback whale,1,n,0,58.32384679,-135.9105705,58.32384679,-135.9105705,6/28/2009,6/28/2009,867,6/28/2009,6:23:05,6/28/2009,20090628,06:23:05,58750,294.8383239,446664.705,6465126.638,18.80451477,446656.7773,6465128.104,446494.8412,6465564.573,339.6444536,465.5414087,44.80612969,Lower Bay,Outside,Outside,-37,6095.052298,-37,5657.003313,,,,,,,6,1,W-With,0-Parallel,DF-Dive-fluke-up,30,none,light,1',excellent,
649,2008-06-11-K,2008-06-11-K-009,2008-06-11-K-009,6/11/2008,N,MultiOb,4,1,2008,Statendam,Karin,Starboard,n,humpback whale,3,n,0,58.30826165,-135.7992831,58.30826165,-135.7992831,6/11/2008,6/11/2008,9,6/11/2008,4:55:09,6/11/2008,20080611,04:55:09,566,283.6319972,453162.3926,6463308.707,10.97487117,453148.8015,6463309.945,452743.5071,6464211.118,155.7846085,988.1180893,52.1526113,Lower Bay,Outside,Outside,-101,2312.383786,-99,3232.650167,,,,,,,6,1,G-Against,0-Parallel,BL-Blowing,100,none,light,calm,excellent,
650,2009-06-15-K,2009-06-15-K-008,2009-06-15-K-008,6/15/2009,Y,Single,1,1,2009,Zaandam,Karin,Starboard,y,humpback whale,1,n,0,58.30824128,-135.804683,58.30824128,-135.804683,6/15/2009,6/15/2009,583,6/15/2009,6:04:33,6/15/2009,20090615,06:04:33,40990,280.5298736,452845.945,6463310.208,10.90552093,452830.6355,6463311.019,452267.8977,6461395.623,196.3726309,1996.351164,-84.15724271,Lower Bay,Outside,Outside,-97,2325.950239,-80,764.6276946,,,,,,,6,1,A-Away,90-Perpendicular,BL-Blowing,100,light,light,calm,excellent,
651,2010-08-15-K,2010-08-15-K-010,2010-08-15-K-009,8/15/2010,N,MultiOb,2,2,2010,Volendam,Karin,Port,n,humpback whale,1,n,0,58.30828705,0,58.30828705,-135.8044002,8/15/2010,8/15/2010,308,8/15/2010,6:14:52,8/15/2010,20100815,06:14:52,22255,280.2469638,452862.5779,6463315.106,19.99424774,452855.2483,6463318.463,451572.628,6463790.915,290.2212505,1366.867231,9.974286776,Lower Bay,Outside,Outside,-97,2329.118759,-86,3180.292782,,,,,,,8,1,A-Away,90-Perpendicular,BL-Blowing,20,none,moderate,calm,excellent,
652,2009-06-07-K,2009-06-07-K-100,2009-06-07-K-100,6/7/2009,Y,Single,1,1,2009,Volendam,Karin,Port,y,humpback whale,1,n,0,58.30485147,-136.236845,58.30485147,-136.236845,6/7/2009,6/7/2009,467,6/7/2009,17:11:47,6/7/2009,20090607,17:11:47,33744,255.7218374,427515.9724,6463316.748,18.61140347,427507.9104,6463316.76,427182.3152,6462818.337,213.1545957,595.3468709,-42.56724168,West Icy,Outside,Lower Bay,-245,1968.354943,-237,2217.396416,,,,,,,6,1,GA-Ag/Away,45-45-degrees,BL-Blowing,100,none,strong,2',excellent,
653,2008-07-16-K,2008-07-16-K-013,2008-07-16-K-010,7/16/2008,Y,MultiOb,1,4,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,58.30834815,-135.8023284,58.30834815,-135.8023284,7/16/2008,7/16/2008,691,7/16/2008,6:10:47,7/16/2008,20080716,06:10:47,59962,287.3650293,452984.0589,6463320.46,15.94419372,452970.5773,6463322.58,451892.6219,6462614.377,56.69560881,1289.782415,-50.6694205,Lower Bay,Outside,Outside,-101,2325.619383,-95,1995.815294,,,,,,,7,1,W-With,0-Parallel,DF-Dive-fluke-up,100,none,light,2',excellent,
654,2010-08-15-K,2010-08-15-K-076,2010-08-15-K-070,8/15/2010,Y,MultiOb,1,7,2010,Volendam,Karin,Port,n,humpback whale,1,n,0,58.30842828,0,58.30842828,-135.7909561,8/15/2010,8/15/2010,374,8/15/2010,17:43:15,8/15/2010,20100815,17:43:15,26667,89.63498103,453650.5554,6463321.496,18.03879854,453658.378,6463319.546,453885.6907,6463187.731,120.1087939,262.7666564,30.47381292,Lower Bay,Outside,Outside,-104,2331.066025,-106,2231.638614,"seemed like ship altered course to veer to port side of whale, bridge officer annoucnes over pa that a whale will be passing on the starboard side of the ship, but never confirmed whether it was a course alteration",,,,,,8,1,T-Toward,90-Perpendicular,DF-Dive-fluke-up,10,none,light,calm,excellent,
655,2009-06-15-K,2009-06-15-K-017,2009-06-15-K-016,6/15/2009,N,MultiOb,2,2,2009,Zaandam,Karin,Starboard,y,humpback whale,1,n,0,58.32871509,-135.9232792,58.32871509,-135.9232792,6/15/2009,6/15/2009,592,6/15/2009,6:26:34,6/15/2009,20090615,06:26:34,41254,316.9730414,445927.7726,6465678.776,10.88254595,445915.9389,6465688.523,445959.1798,6466678.17,2.501847366,990.591314,45.52880592,Lower Bay,Outside,Outside,-39,5572.572881,-46,4575.842318,,,,,,,6,1,W-With,0-Parallel,DN-Dive-no-fluke,100,light,light,calm,excellent,
656,2009-07-20-K,2009-07-20-K-089,2009-07-20-K-089,7/20/2009,N,MultiOb,2,1,2009,Zaandam,Karin,Port,y,humpback whale,1,y,13,58.34799497,-136.036941,58.34799497,-136.036941,7/20/2009,7/20/2009,1382,7/20/2009,18:13:31,7/20/2009,20090720,18:13:31,94557,219.8455941,439304.4992,6467922.138,12.94498515,439293.2247,6467911.749,437807.8718,6468021.544,274.2275122,1489.405242,54.38191813,Lower Bay,Outside,Lower Bay,-45,2590.456434,-63,1627.883545,,,,,,,7,1,GA-Ag/Away,45-45-degrees,BL-Blowing,100,none,strong,1',excellent,
657,2010-07-19-K,2010-07-19-K-039,2010-07-19-K-037,7/19/2010,Y,MultiOb,1,3,2010,Zaandam,Karin,Starboard,n,humpback whale,1,n,0,58.34874398,0,58.34874398,-135.9458003,7/19/2010,7/19/2010,38,7/19/2010,6:31:28,7/19/2010,20100719,06:31:28,1626,341.4166013,444640.2028,6467926.948,9.247052955,444633.4631,6467940.718,444117.5777,6467939.872,269.9060505,515.8860359,-71.51055078,Lower Bay,Outside,Outside,-70,3772.579372,-69,4023.222545,,,,,,,7,1,G-Against,0-Parallel,BL-Blowing,100,none,light,calm,excellent,
658,2010-08-30-K,2010-08-30-K-016,2010-08-30-K-013,8/30/2010,N,MultiOb,9,4,2010,Zaandam,Karin,Port,y,humpback whale,1,n,0,58.34884909,0,58.34884909,-135.9588568,8/30/2010,8/30/2010,475,8/30/2010,6:23:12,8/30/2010,20100830,06:23:12,35037,356.7334188,443876.1759,6467949.463,7.860682827,443877.3065,6467964.752,443531.97,6469409.36,346.555624,1485.310368,-10.17779487,Lower Bay,Outside,Outside,-69,4149.326024,-71,3347.99618,,,,,,,8,1,T-Toward,90-Perpendicular,SA-Surface-active,100,none,light,calm,excellent,
