 steps turns
 0.2831033969 1.463644543	
 0.0495373283 1.106306875	
 0.2135477248 2.138737036	
 0.2027863790 2.072785424	
 0.2795415784 5.271710215	
 0.1059990812 5.935586504	
 0.1353471463 1.916810701	
 0.1384880137 1.575184215	
 0.0893345760 5.737285415	
 0.0349858215 4.087776261	
 0.0365768755 2.547778347	
 0.4630984071 1.549819864	
 0.1594648790 5.355127617	
 0.5953106103 3.315103021	
 0.0738991385 0.841012994	
 0.0034266956 1.609251049	
 0.0523836726 2.199831642	
 0.0356360652 3.621991210	
 0.0456530977 5.959831408	
 0.5944770017 1.015685741	
 0.3835406472 1.638611999	
 0.1170710870 4.656900989	
 0.0466672057 1.300768281	
 0.1066610833 3.116144931	
 0.6162137383 5.817655289	
 0.4542523489 2.740257067	
 0.1042863674 4.159502243	
 0.5282603923 4.897650065	
 0.0501867302 5.612878772	
 0.1550255337 1.049849405	
 0.0048475103 0.289953216	
 0.0607232698 3.055602868	
 0.7756457231 5.992495305	
 0.0087105081 4.636382573	
 0.1005181224 5.047687240	
 2.7550795738 1.905477503	
 0.0136475565 2.075813033	
 0.5160953847 6.178783548	
 0.0439309111 4.717033345	
 0.0047078683 1.818257017	
 0.1604691300 1.212525163	
 0.0025539432 2.232053379	
 0.1501044405 0.881971021	
 1.1647018856 1.636222516	
 0.0800447211 1.436832826	
 1.2663517783 5.698808945	
 0.0764895292 2.369758680	
 0.7057831651 4.091830590	
 0.5667241228 5.090128425	
 0.0084484288 3.978182578	
 0.0522538634 3.284380457	
 1.6638484403 0.422530196	
 0.9698878286 5.972462597	
 0.4008617436 5.800414124	
 0.1172616790 0.521337675	
 0.4106061276 0.209121692	
 0.2580309119 0.747133776	
 0.0046837248 3.096336859	
 0.1010811402 3.642147101	
 0.1148509803 3.042333592	
 0.2128457818 3.141218729	
 0.7142457844 4.243407515	
 0.0067872835 1.835381190	
 0.1231615331 0.888816907	
 0.1097863933 2.703616446	
 0.0078073689 4.960445749	
 0.3690338847 5.285238478	
 0.9960965297 5.614757012	
 0.1649684616 1.138246367	
 0.5871766189 5.202542797	
 0.0210759610 2.834129119	
 2.7975777183 1.297409985	
 1.1986149894 6.181954940	
 0.0199458062 4.079249114	
 0.2983805818 5.338793852	
 0.6846111122 3.164695256	
 0.0166802917 5.207752563	
 0.1465717440 1.800662524	
 0.1548556418 2.016828228	
 0.0668206928 2.048169620	
 0.1299217095 3.648245077	
 0.0060938185 3.934881081	
 0.0068715747 5.525133005	
 0.6300407855 4.469334864	
 0.0948750262 0.125194891	
 1.8734886586 0.379363897	
 0.1963041277 5.379026959	
 0.8598864322 0.160795596	
 0.1201738422 1.140061745	
 0.2494535161 4.886442964	
 0.2084840228 5.990919019	
 0.8731414096 1.104513051	
 0.0362776825 4.217898965	
 1.2984921089 1.805797634	
 0.6858860132 0.220515861	
 0.1902604778 0.477400271	
 0.2970621822 1.788341630	
 0.0070169680 3.742357620	
 0.0185371826 0.631953804	
 0.9053630352 1.936689578	
 0.5838179493 0.456945771	
 0.0134304534 0.124247576	
 0.0227122865 2.325373005	
 0.0310885071 1.117519360	
 0.0771718189 0.290523906	
 0.0366119142 3.045613400	
 0.0348821713 0.831459342	
 0.1705271508 0.585171876	
 0.0081252215 4.643332810	
 0.3386088475 5.532429310	
 0.0030538460 2.187677101	
 0.0637696623 4.137350730	
 0.0664279517 3.003156672	
 0.0752198720 5.946205146	
 0.0094420864 1.994215834	
 0.7270910335 1.947484270	
 0.0230934972 1.143456988	
 0.3571135799 5.294188959	
 0.1543613944 5.629321657	
 0.0233941803 3.824880056	
 0.0140785647 3.080811317	
 0.0486243248 5.519511267	
 0.0012523754 5.252564985	
 0.0976224884 0.059661600	
 0.0908810371 1.364548250	
 1.5719729100 2.406918242	
 0.1813801561 0.899080262	
 0.0843465079 2.599059191	
 0.5235398521 0.745816343	
 0.0148027918 0.414064496	
 0.0067966113 3.518845559	
 0.4031206669 3.539704691	
 0.0306078545 5.879670639	
 0.1410262937 5.001377825	
 0.0056426640 4.137119932	
 0.0968913696 1.098739866	
 0.1206385045 3.814032486	
 0.1032317112 0.965091290	
 0.0047291132 2.533459815	
 0.6740088055 1.281654212	
 0.0791854382 0.683424660	
 0.4649533092 6.280909111	
 0.0022722088 6.075842700	
 0.3258301951 4.827350087	
 3.2531887499 6.228301468	
 0.0461196716 1.984780607	
 0.0692683934 1.080021368	
 0.1173321705 0.968189819	
 0.2282200356 5.201753747	
 5.0294999053 0.402943303	
