SwB_Wpt_ID,x,y,turn.angle,heading,dist
2011-08-24-N-031,437625.9978,6490898.212,NA,NA,NA
2011-09-02-N-005,410488.0076,6524397.06,NA,NA,NA
2011-09-04-N-005,415459.886,6521132.23,NA,NA,NA
2011-09-12-N-031,439140.3227,6483757.951,NA,NA,NA
2012-05-06-N-018,435020.9685,6501370.911,NA,NA,NA
2012-05-13-N-010,427419.6987,6510909.3,NA,NA,NA
2012-05-21-N-008,437411.84,6495966.385,NA,NA,NA
2012-05-22-N-034,424641.0411,6511965.652,NA,NA,NA
2012-05-24-N-020,434527.3626,6500455.714,NA,NA,NA
2012-05-27-N-004,437319.7635,6488749.057,NA,NA,NA
2012-05-27-N-040,437680.0333,6495114.953,NA,NA,NA
2012-05-31-N-029,437354.4881,6497649.44,NA,NA,NA
2012-06-03-N-005,425942.663,6512629.003,NA,NA,NA
2012-06-04-N-025,427410.5505,6511095.508,NA,NA,NA
2012-06-04-N-028,429998.4795,6508544.731,NA,NA,NA
2012-06-04-N-033,432891.7,6502292.408,NA,NA,NA
2012-06-06-N-006,435312.3155,6499815.245,NA,NA,NA
2012-06-06-N-046,433118.2289,6509671.717,NA,NA,NA
2012-06-08-N-011,430386.003,6505768.498,NA,NA,NA
2012-06-21-N-006,439069.2474,6483488.573,NA,NA,NA
2012-06-22-N-002,438949.3666,6483772.172,NA,NA,NA
2012-06-24-N-003,439135.0527,6488557.277,NA,NA,NA
2012-07-04-N-020,439266.6179,6492176.573,NA,NA,NA
2012-07-18-N-002,437762.6791,6488855.135,NA,NA,NA
2012-07-20-N-002,437382.9071,6488900.799,NA,NA,NA
2012-07-20-N-026,437582.922,6484825.2,NA,NA,NA
2012-07-22-N-005,437960.1093,6486343.408,NA,NA,NA
2012-07-22-N-038,438059.0653,6484960.387,NA,NA,NA
2012-07-23-N-034,439356.8792,6493132.76,NA,NA,NA
2012-07-26-N-002,437520.0501,6488590.998,NA,NA,NA
2012-08-03-N-023,438397.006,6491644.103,NA,NA,NA
2012-08-03-N-024,437517.2275,6489492.002,NA,NA,NA
2012-08-05-N-009,424770.1758,6514702.627,NA,NA,NA
2012-08-05-N-031,438788.3911,6483256.095,NA,NA,NA
2012-08-06-N-022,438355.5243,6486842.253,NA,NA,NA
2012-08-16-N-023,438068.1559,6488856.966,NA,NA,NA
2012-08-17-N-002,441548.4392,6478617.795,NA,NA,NA
2012-08-17-N-026,438362.6366,6489564.403,NA,NA,NA
2012-08-19-N-002,439647.3356,6482992.753,NA,NA,NA
2012-08-19-N-028,422177.1501,6515267.762,NA,NA,NA
2012-08-19-N-034,438991.5271,6486556.323,NA,NA,NA
2012-08-26-N-024,439964.0312,6493102.411,NA,NA,NA
2012-08-29-N-006,437638.8724,6492085.439,NA,NA,NA
2012-08-31-N-003,438450.2227,6488866.6,NA,NA,NA
2012-08-31-N-023,438096.0053,6495207.246,NA,NA,NA
2012-09-11-N-022,433654.7538,6508904.92,NA,NA,NA
2013-05-14-N-019,438671.0804,6484940.142,NA,NA,NA
2013-05-27-N-003,438412.5756,6484226.644,NA,NA,NA
2013-05-29-S-045,440815.2311,6471199.309,NA,NA,NA
2013-05-29-S-058,422002.3225,6461181.823,NA,NA,NA
2013-06-03-N-003,410018.0451,6525168.243,NA,NA,NA
2013-06-04-S-006,456083.6659,6460954.691,NA,NA,NA
2013-06-04-S-016,438937.2782,6478343.25,NA,NA,NA
2013-06-04-S-026,437332.7921,6468264.545,NA,NA,NA
2013-06-05-N-020,437794.7217,6503108.245,NA,NA,NA
2013-06-07-N-004,421163.3484,6516157.199,NA,NA,NA
2013-06-07-N-038,439093.2789,6496795.585,NA,NA,NA
2013-06-09-N-015,430798.3551,6505313.508,NA,NA,NA
2013-06-09-S-003,473176.3416,6452889.196,NA,NA,NA
2013-06-09-S-020,437540.0103,6499904.05,NA,NA,NA
2013-06-09-S-031,442825.7238,6471884.088,NA,NA,NA
2013-06-09-S-035,441925.6757,6464819.389,NA,NA,NA
2013-06-09-S-039,473084.5001,6454978.623,NA,NA,NA
