steps,turns,time_diff_sec,type,same_whale_ID,X,Y,time_txt,ob_order_time,ship_whale_dist,ship_whale_bearing,whale_behavior
1040.715421,NA,417,deep_dive,2010-07-25-K-002,478503.9823,6453610.813,4:31:06,1,2993.305298,-20.08710375,DF-Dive-fluke-up
81.89916065,2.32440344,41,surface_interval,2010-07-25-K-002,477873.5026,6454451.432,4:39:09,3,993.6505157,-25.29484184,BL-Blowing
51.95517257,-0.782542318,32,surface_interval,2010-07-25-K-002,477791.6289,6454453.474,4:39:50,4,857.1046861,-30.37682859,BL-Blowing
1540.391285,NA,620,deep_dive,2010-08-02-K-006,456127.5508,6461868.273,5:24:01,1,5984.664816,-4.993608342,DN-Dive-no-fluke
727.2999396,0.293717343,253,deep_dive,2010-08-02-K-006,454776.5262,6462608.231,5:34:21,2,4484.658579,-4.991470492,BL-Blowing
652.0632233,2.627460893,203,deep_dive,2010-08-02-K-006,454064.8065,6462757.965,5:38:34,3,3984.655557,-10.00963165,BL-Blowing
236.4272888,1.698246101,187,deep_dive,2010-08-02-K-006,454529.0253,6462245.899,5:43:53,5,1984.979156,-20.09581117,BL-Blowing
191.8695808,-0.478977468,196,deep_dive,2010-08-02-K-057,440800.443,6475708.955,16:46:33,2,1787.798269,30.29907712,DN-Dive-no-fluke
137.2856656,-1.878967315,38,surface_interval,2010-08-02-K-057,440991.9158,6475696.622,16:49:49,3,990.6283467,45.70345487,BL-Blowing
292.0252953,-1.86774555,54,surface_interval,2010-08-02-K-057,440941.9522,6475568.751,16:50:27,4,991.7334965,50.74699902,BL-Blowing
431.2601402,NA,335,deep_dive,2010-08-27-N-006,437207.4396,6491534.338,7:15:13,1,2985.999615,-20.07712866,DF-Dive-fluke-up
242.8954748,1.096576156,45,surface_interval,2010-08-27-N-006,437638.6562,6491540.466,7:20:48,2,668.8384242,-50.89650441,BL-Blowing
182.0863642,-2.887676408,18,surface_interval,2010-08-27-N-006,437746.4914,6491758.112,7:21:33,3,462.6615807,-50.49724231,BL-Blowing
102.1245411,-0.90767765,53,surface_interval,2010-08-30-K-013,443457.1975,6469688.026,6:26:42,7,993.9917589,-25.47476964,SA-Surface-active
10.44979706,-2.842522201,36,surface_interval,2010-08-30-K-013,443550.3353,6469729.916,6:27:35,8,801.9736055,-25.5884483,SA-Surface-active
70.43292901,2.447156574,28,surface_interval,2010-08-30-K-013,443542.491,6469723.012,6:28:11,9,674.7371761,-30.79246289,DF-Dive-fluke-up
27.51136634,-2.730016117,40,surface_interval,2010-08-30-K-013,443612.8977,6469724.934,6:28:39,10,545.7145622,-30.97984043,SA-Surface-active
116.0578585,NA,42,surface_interval,2010-09-15-N-044,438194.3558,6484834.023,18:16:40,1,3484.962398,-0.049322587,BL-Blowing
763.1911074,-0.076578334,234,deep_dive,2010-09-15-N-044,438166.4905,6484946.686,18:17:22,2,3084.957547,-0.055717903,DF-Dive-fluke-up
17.21171115,-1.082027455,48,surface_interval,2010-09-15-N-044,438040.4655,6485699.4,18:21:16,3,815.7179997,20.16233989,SA-Surface-active
49.97751014,-1.674801567,60,surface_interval,2010-09-15-N-044,438054.1188,6485709.88,18:22:04,4,513.2751514,30.54719932,SA-Surface-active
1061.77436,NA,263,deep_dive,2011-07-08-N-011,437955.3203,6487027.164,9:47:14,1,1284.630317,-15.04391004,DN-Dive-no-fluke
125.3741246,0.845219824,30,surface_interval,2011-07-08-N-011,438406.3722,6487988.37,9:51:37,2,605.5206879,25.85713972,DN-Dive-no-fluke
87.64955618,-3.139171981,53,surface_interval,2011-07-08-N-011,438356.8033,6488103.529,9:52:07,3,565.3638412,31.02342575,DN-Dive-no-fluke
28.08817026,NA,28,surface_interval,2011-07-16-N-006,439595.3511,6480738.313,7:18:34,1,743.0647404,2.34E-11,DN-Dive-no-fluke
55.22072751,0.833446701,30,surface_interval,2011-07-16-N-006,439621.7467,6480728.71,7:19:02,2,620.0219813,1.72E-11,DF-Dive-fluke-up
44.2868143,-0.196616285,21,surface_interval,2011-07-16-N-006,439670.6114,6480754.431,7:19:32,3,510.207709,5.554959735,DF-Dive-fluke-up
980.141174,NA,257,deep_dive,2011-07-29-N-029,437708.8212,6502341.55,14:57:07,1,983.5866734,10.0491346,DF-Dive-fluke-up
3045.847871,-1.747870673,699,deep_dive,2011-07-29-N-029,438604.1251,6502740.433,15:01:24,2,802.0229906,-91.1573917,BL-Blowing
420.8379042,-0.010872113,227,deep_dive,2011-07-29-N-029,439334.2079,6499783.379,15:13:03,3,842.7607666,-15.41639777,BL-Blowing
62.47213428,1.942994969,41,surface_interval,2012-06-04-N-033,432758.9376,6503589.801,18:08:30,2,2067.605035,-10.04530434,BL-Blowing
1218.454236,2.094049048,327,deep_dive,2012-06-04-N-033,432703.358,6503561.276,18:09:11,3,1767.590362,-10.05299388,DF-Dive-fluke-up
70.37021612,-0.550946321,29,surface_interval,2012-06-04-N-033,433726.9543,6502900.306,18:14:38,4,974.489774,-46.16833333,BL-Blowing
338.0321155,NA,182,deep_dive,2012-07-22-N-038,438059.0653,6484960.387,15:39:57,1,2991.006262,-4.976542545,RE-Resting
268.2336305,-0.80778884,47,surface_interval,2012-07-22-N-038,437896.4669,6485256.744,15:42:59,2,1491.104935,0.07685012,RE-Resting
85.30663163,0.583865573,45,surface_interval,2012-07-22-N-038,437977.2656,6485512.519,15:43:46,3,912.0514601,0.125641651,RE-Resting
42.38782532,NA,43,surface_interval,2012-08-05-N-009,424770.1758,6514702.627,8:34:58,1,991.8871614,15.24330718,RE-Resting
101.4434687,2.795024422,28,surface_interval,2012-08-05-N-009,424795.5915,6514668.704,8:35:41,2,565.6615228,25.56073774,RE-Resting
121.2897648,-2.704285814,18,surface_interval,2012-08-05-N-009,424765.9589,6514765.723,8:36:09,3,444.306882,40.92788094,DN-Dive-no-fluke
42.87058013,NA,33,surface_interval,2013-06-07-N-004,421163.3484,6516157.199,8:41:37,1,1304.64701,25.34872617,BL-Blowing
64.3908593,1.66552924,22,surface_interval,2013-06-07-N-004,421151.6092,6516115.967,8:42:10,2,1027.379312,30.50092517,BL-Blowing
35.48390727,-0.160249552,35,surface_interval,2013-06-07-N-004,421214.9291,6516104.272,8:42:32,3,845.12295,40.73577468,BL-Blowing
1062.734704,NA,275,deep_dive,2013-06-12-N-007,414319.9667,6521636.498,7:58:20,1,4485.675446,0.025546111,DF-Dive-fluke-up
76.49859461,-0.175342008,42,surface_interval,2013-06-12-N-007,414834.7028,6520706.739,8:02:55,2,926.7636869,-20.18618199,BL-Blowing
42.35764867,0.764051225,26,surface_interval,2013-06-12-N-007,414859.5118,6520634.375,8:03:37,3,529.6077799,-40.82870388,BL-Blowing
247.9765323,NA,47,surface_interval,2013-06-17-N-005,437753.4506,6484954.167,9:38:57,1,1070.105274,-30.6738921,BL-Blowing
62.08057808,-0.842155407,34,surface_interval,2013-06-17-N-005,437598.3085,6485147.618,9:39:44,2,964.8110408,-41.04341949,BL-Blowing
28.08421726,-2.884373095,23,surface_interval,2013-06-17-N-005,437608.5797,6485208.843,9:40:18,3,769.3825863,-51.63996557,BL-Blowing
1696.984703,NA,233,deep_dive,2013-06-26-N-046,438604.8745,6485537.136,14:01:06,1,3967.242005,-4.983359427,BL-Blowing
72.43630207,0.676818639,16,surface_interval,2013-06-26-N-046,438273.2034,6487201.393,14:04:59,2,711.33267,0.322190074,BL-Blowing
82.15616219,-0.413443509,31,surface_interval,2013-06-26-N-046,438217.6736,6487247.906,14:05:15,3,566.7914771,5.689167479,BL-Blowing
58.8311289,0.143706696,16,surface_interval,2013-06-26-N-046,438181.194,6487321.519,14:05:46,4,307.4945414,17.28788159,BL-Blowing
34.0854291,-1.251555198,12,surface_interval,2013-06-26-N-046,438147.7914,6487369.948,14:06:02,5,192.3090555,41.54433355,BL-Blowing
41.69269954,NA,34,surface_interval,2013-06-28-N-005,437743.1274,6485555.666,7:34:00,1,954.721174,-15.13569076,BL-Blowing
248.7486629,1.963431265,61,surface_interval,2013-06-28-N-005,437755.1422,6485515.742,7:34:34,2,732.3394615,-25.39383073,DF-Dive-fluke-up
166.36084,-0.266293967,28,surface_interval,2013-06-28-N-005,437947.7849,6485673.11,7:35:35,3,437.8603824,-20.47910668,DN-Dive-no-fluke
50.41901936,0.19870357,36,surface_interval,2013-06-28-N-005,438099.7778,6485740.742,7:36:03,4,298.3305536,-4.888518647,SA-Surface-active
192.7435411,NA,682,deep_dive,2013-07-15-N-040,438378.1096,6486165.919,18:15:19,1,3967.627143,-4.982857602,DN-Dive-no-fluke
98.12113841,-1.3284945,58,surface_interval,2013-07-15-N-040,438497.0758,6486014.271,18:26:41,2,681.0279747,-25.83636355,DN-Dive-no-fluke
55.09528054,-0.084066287,54,surface_interval,2013-07-15-N-040,438436.6619,6485936.954,18:27:39,3,474.9984196,-31.51832772,DN-Dive-no-fluke
112.1832226,0.641053776,37,surface_interval,2013-07-17-N-032,438206.2095,6485207.966,19:56:28,2,983.8658985,0.116470789,RE-Resting
100.9300694,-1.967298251,41,surface_interval,2013-07-17-N-032,438289.3088,6485132.603,19:57:05,3,907.8548698,0.126222434,RE-Resting
27.79897646,-0.184460566,33,surface_interval,2013-07-17-N-032,438201.0168,6485006.597,20:00:23,6,213.0642692,53.64415504,DN-Dive-no-fluke
73.73831251,NA,33,surface_interval,2013-07-17-S-025,438779.3816,6484663.576,6:42:45,1,488.6279634,40.9503562,SA-Surface-active
154.3143864,-0.621240815,31,surface_interval,2013-07-17-S-025,438713.1614,6484631.138,6:43:18,2,291.0881153,57.11264004,BL-Blowing
268.0675146,-1.359544143,54,surface_interval,2013-07-17-S-025,438560.9618,6484656.598,6:43:49,3,120.9846489,70.73249002,BL-Blowing
615.0168287,NA,231,deep_dive,2013-08-07-S-004,445313.9227,6464473.016,5:22:28,1,2987.885669,25.12921662,SA-Surface-active
279.8468655,2.856060278,202,deep_dive,2013-08-07-S-004,445643.2995,6464992.397,5:26:19,2,1992.882944,55.34149327,SA-Surface-active
83.30514482,-1.66732201,48,surface_interval,2013-08-07-S-004,445432.9268,6464807.85,5:29:41,3,1190.901262,45.50349966,BL-Blowing
53.21071713,NA,18,surface_interval,2013-08-11-S-023,434674.4378,6500461.536,13:48:09,1,1192.572614,15.0444906,BL-Blowing
51.59774526,0.764447205,23,surface_interval,2013-08-11-S-023,434626.7588,6500485.16,13:48:27,2,992.6604399,20.09006972,BL-Blowing
18.75937307,2.760386929,25,surface_interval,2013-08-11-S-023,434577.5335,6500469.694,13:48:50,3,793.012236,30.2015061,BL-Blowing
258.9772303,NA,54,surface_interval,2013-08-20-N-026,432859.0411,6505969.361,18:33:49,1,885.3838289,0.129425965,BL-Blowing
176.0846882,0.635020425,54,surface_interval,2013-08-20-N-026,433111.7314,6505912.644,18:34:43,2,785.2399465,-10.040006,DN-Dive-no-fluke
86.53174943,-0.948052867,25,surface_interval,2013-08-20-N-026,433272.9242,6505983.515,18:35:37,3,586.290939,-30.53925423,BL-Blowing
114.583761,-0.362980085,44,surface_interval,2013-08-25-N-007,419418.2003,6518639.272,13:37:16,5,1463.623046,-10.03301952,SA-Surface-active
61.59842957,1.849130114,30,surface_interval,2013-08-25-N-007,419506.5749,6518566.338,13:38:00,6,983.7244556,-15.13169017,DN-Dive-no-fluke
81.684225,-0.305998485,56,surface_interval,2013-08-25-N-007,419531.2209,6518622.791,13:38:30,7,739.688995,-15.17513702,DF-Dive-fluke-up
4.265635845,2.435478218,23,surface_interval,2013-08-25-N-007,419584.9367,6518684.329,13:39:26,8,253.1040978,-26.13958853,SA-Surface-active
162.160842,-1.997045236,46,surface_interval,2013-09-08-N-023,392507.4841,6530822.494,16:46:09,2,2483.642402,-4.986609073,DN-Dive-no-fluke
228.2391161,2.115318695,35,surface_interval,2013-09-08-N-023,392442.9526,6531034.163,16:48:14,4,1483.761084,-15.08730973,DN-Dive-no-fluke
164.0181433,-0.546745218,55,surface_interval,2013-09-08-N-023,392216.3135,6531007.185,16:48:49,5,983.9872447,-20.21319369,BL-Blowing
320.4191773,NA,50,surface_interval,2013-09-08-N-031,430425.1032,6505611.589,18:20:38,1,2984.000399,5.065366203,BL-Blowing
132.5992481,-0.2614935,61,surface_interval,2013-09-08-N-031,430625.2654,6505861.796,18:21:28,2,2483.755805,0.046136408,BL-Blowing
35.71592334,-1.255785604,20,surface_interval,2013-09-08-N-031,430778.799,6506223.141,18:25:07,4,501.4823004,-10.0963706,BL-Blowing
58.08949251,NA,36,surface_interval,2013-09-24-N-032,409932.5119,6523266.683,15:53:11,1,1186.839471,5.156352247,BL-Blowing
46.76430201,-0.433287721,21,surface_interval,2013-09-24-N-032,409978.7985,6523301.782,15:53:47,2,951.8177708,5.19495869,BL-Blowing
38.1489755,3.12723954,23,surface_interval,2013-09-24-N-032,410024.4811,6523311.782,15:54:08,3,834.8024906,5.222286415,DF-Dive-fluke-up
224.7729643,NA,4,surface_interval,2015-08-05-K-005,437881.7959,6493838.522,7:39:23,1,985.5895229,0.116267102,DF-Dive-fluke-up
153.1931036,0.926213996,43,surface_interval,2015-08-05-K-005,437984.7699,6493638.724,7:39:27,2,748.788273,5.247820876,SA-Surface-active
42.30210971,0.197471452,28,surface_interval,2015-08-05-K-005,438135.7883,6493613.003,7:40:10,3,450.4598415,31.1298166,SA-Surface-active
