"","steps","turns","time_diff_sec","type","same_whale_ID","X","Y","time_txt","ob_order_time","ship_whale_dist","ship_whale_bearing","whale_behavior"
"59",2081.99887245962,NA,168.000000000001,"long_int","2009-08-14-N-022",428256.323,6511876.375,"7:11:36",1,4988.028986,21.17724008,"BL-Blowing"
"60",81.4147257297149,2.6590037482157,25.0000000000007,"short_int","2009-08-19-K-010",447824.4184,6464281.948,"6:20:09",2,886.3328745,-12.50223471,"BL-Blowing"
"61",846.248025581209,NA,231.999999999998,"long_int","2009-08-26-K-028",437345.0194,6487904.757,"7:21:12",1,1985.808793,-19.78651808,"BL-Blowing"
"62",694.89759890034,NA,172.999999999992,"long_int","2009-08-31-N-039",436347.0073,6497736.12,"18:54:10",1,2968.064689,4.163086062,"BL-Blowing"
"63",1420.89515214369,NA,135.000000000005,"long_int","2009-09-09-N-066",437449.2087,6485989.333,"15:46:06",1,2987.382953,15.15195632,"BL-Blowing"
"64",191.18033399496,-2.31156966350659,26.9999999999978,"short_int","2009-09-13-K-003",438694.1478,6482758.513,"6:43:45",2,793.014067,-14.51126562,"BL-Blowing"
"65",12.6103892740313,-1.54487688289314,18.9999999999998,"short_int","2009-09-13-K-003",438795.9605,6482596.698,"6:44:12",3,399.6414662,-23.193913,"BL-Blowing"
"66",9.66917443253597,1.44861845301601,18.0000000000028,"short_int","2009-09-13-K-003",438785.4647,6482589.708,"6:44:31",4,276.1702604,-38.25073393,"BL-Blowing"
"67",41.3926435162568,2.45229522586723,16.9999999999995,"short_int","2009-09-13-K-003",438789.8036,6482581.067,"6:44:49",5,182.2281116,-69.8757297,"BL-Blowing"
"68",254.659542815903,NA,195.999999999999,"long_int","2009-09-14-N-007",424640.4411,6512803.042,"8:25:33",1,4984.762741,-6.561681075,"BL-Blowing"
"69",253.941052067312,0.0937476400038136,27.999999999998,"short_int","2009-09-14-N-007",425063.4762,6512288.446,"8:29:54",3,1984.713966,-2.60814015,"BL-Blowing"
"70",461.379926352154,-0.622052806191496,134.999999999999,"long_int","2009-09-20-K-007",438832.4995,6482487.409,"7:05:14",3,965.2516655,-4.806618888,"BL-Blowing"
"71",756.537868212491,NA,373.000000000001,"long_int","2009-09-21-N-010",436681.7688,6496355.785,"7:52:05",1,4485.3669,-20.25799812,"BL-Blowing"
"72",19.6087676080157,NA,21.0000000000001,"short_int","2009-09-28-K-016",438028.3464,6484067.195,"7:26:33",1,825.5613292,-37.55277002,"BL-Blowing"
"73",125.221209584786,0.12049627605782,24.0000000000006,"short_int","2009-09-28-K-016",438043.5911,6484054.862,"7:26:54",2,708.3131549,-43.03121074,"BL-Blowing"
"74",585.893146420509,NA,649.999999999999,"long_int","2009-09-28-K-080",437968.1951,6487861.044,"15:51:19",1,4984.898982,2.933094515,"BL-Blowing"
"75",438.021261050647,NA,147.000000000001,"long_int","2010-05-17-N-009",424391.1371,6509676.082,"11:50:32",1,4971.183955,-30.1650229,"BL-Blowing"
"76",697.401167438698,-2.80411734607513,178.999999999999,"long_int","2010-05-30-N-048",438610.4693,6493600.877,"15:32:08",2,1292.090687,0.04434347,"DN-Dive-no-fluke"
"77",527.479814415338,NA,250.999999999998,"long_int","2010-05-31-N-064",437754.584,6486655.005,"15:48:59",1,2485.162213,10.08355788,"BL-Blowing"
"78",548.099195682772,NA,171.000000000004,"long_int","2010-06-04-N-013",414273.2619,6521419.444,"8:21:17",1,4986.617685,5.024965241,"BL-Blowing"
"79",548.48542013663,0.268582117937044,152.999999999995,"long_int","2010-06-04-N-013",414536.2913,6520938.582,"8:24:08",2,2986.603791,5.041683508,"BL-Blowing"
"80",2868.64829220887,NA,211.999999999998,"long_int","2010-06-09-N-011",438229.246,6493574.104,"7:18:09",1,4986.6776,0.01148977,"BL-Blowing"
"81",917.979428904483,2.3101289951526,13.000000000002,"short_int","2010-06-09-N-011",437516.2145,6490795.484,"7:21:41",2,810.0756903,-58.9619867,"BL-Blowing"
"82",66.7654139296441,-2.026832766782,18.9999999999998,"short_int","2010-06-09-N-058",439094.8631,6498644.828,"15:09:58",2,286.7193965,10.65832753,"BL-Blowing"
"83",41.0675705642941,2.44478268222658,14.0000000000022,"short_int","2010-06-09-N-058",439040.5277,6498683.626,"15:10:17",3,102.7542523,106.2317318,"BL-Blowing"
"84",1160.91688611093,NA,233.999999999992,"long_int","2010-06-14-N-053",438645.0683,6485678.757,"18:51:22",1,4967.810655,-5.009287967,"BL-Blowing"
"85",453.685206084175,0.701730071741435,139.000000000006,"long_int","2010-06-14-N-053",437924.1529,6486588.707,"18:55:16",2,1968.109166,5.139449652,"DN-Dive-no-fluke"
"86",72.9166054179125,0.748028036142111,23.0000000000004,"short_int","2010-07-19-K-018",448760.2076,6464410.517,"6:11:21",4,384.5238523,0.298010318,"BL-Blowing"
"87",78.8408176395936,0.260535630679775,26.9999999999978,"short_int","2010-07-19-K-018",448698.9218,6464371.009,"6:11:44",5,318.3473341,-10.12055653,"BL-Blowing"
"88",1183.40788904655,-1.09533719274655,146,"long_int","2010-07-19-K-018",448645.8971,6464312.663,"6:12:11",6,246.4748834,-31.36419779,"BL-Blowing"
"89",663.864484009445,NA,177.999999999999,"long_int","2010-07-19-K-037",443728.7059,6468505.296,"6:28:03",1,1984.745048,-15.05779962,"BL-Blowing"
"90",25.7924261662009,-0.530165008999644,27.000000000001,"short_int","2010-07-19-K-037",444115.2261,6467965.557,"6:31:01",2,580.5630064,-56.11565845,"BL-Blowing"
"91",174.427420183924,NA,423.999999999999,"long_int","2010-07-19-K-044",442824.4057,6475058.113,"6:51:29",1,1989.095371,-52.61088223,"BL-Blowing"
"92",355.139589641298,-2.97436474962261,154.999999999995,"long_int","2010-07-19-K-082",440777.8042,6478438.137,"16:31:37",4,829.8969374,55.93886116,"DN-Dive-no-fluke"
"93",30.0512435081845,2.50014699641801,26.0000000000009,"short_int","2010-07-25-K-018",444022.7569,6470267.82,"6:36:28",2,363.4496702,-35.96450348,"BL-Blowing"
"94",70.2777821878007,NA,29.9999999999983,"short_int","2010-07-25-K-086",471242.6619,6452505.648,"18:01:09",1,975.6059979,40.20484993,"BL-Blowing"
"95",200.234479997384,NA,132.999999999998,"long_int","2010-08-02-K-048",438295.4453,6481693.807,"16:17:13",1,3984.772377,0.028757368,"BL-Blowing"
"96",721.471257893381,1.70420945524519,146.999999999994,"long_int","2010-08-02-K-048",438963.7942,6481872.207,"16:22:07",4,1985.327318,10.13301604,"BL-Blowing"
"97",126.19588754382,1.72659837262705,19.0000000000126,"short_int","2010-08-02-K-048",439255.568,6482532.047,"16:24:34",5,584.854522,-20.32518189,"BL-Blowing"
"98",840.248250269388,2.34471265935828,149.000000000001,"long_int","2010-08-02-K-054",441159.2732,6476022.747,"16:37:24",2,2991.752156,50.24761585,"BL-Blowing"
"99",1078.3753417437,-3.05968255715609,290.999999999991,"long_int","2010-08-02-K-054",441707.4465,6476659.554,"16:39:53",3,1987.802069,30.26898508,"BL-Blowing"
"100",873.128483375305,NA,155.000000000008,"long_int","2010-08-02-K-057",440001.3075,6475357.194,"16:43:58",1,2987.043213,25.15798644,"BL-Blowing"
"101",191.869580780348,-0.478977467572277,195.999999999992,"long_int","2010-08-02-K-057",440800.443,6475708.955,"16:46:33",2,1787.798269,30.29907712,"DN-Dive-no-fluke"
"102",279.260563483731,NA,136.999999999999,"long_int","2010-08-02-K-071",441188.9963,6469700.325,"17:04:41",1,1986.357073,20.20416552,"BL-Blowing"
"103",565.895946665126,-2.99501620759947,125.00000000001,"long_int","2010-08-02-K-071",440961.6625,6469574.899,"17:08:18",3,985.7405126,15.34095521,"BL-Blowing"
"104",1392.20489657922,NA,231.999999999998,"long_int","2010-08-12-N-010",431577.1966,6505086.143,"7:01:30",1,4988.375938,-0.034457577,"BL-Blowing"
"105",246.050299768595,-2.74077160744585,127.000000000001,"long_int","2010-08-12-N-010",432377.1908,6503946.738,"7:05:22",2,1488.627766,-5.153940393,"BL-Blowing"
"106",8.92917868784621,-0.734413622551638,24.0000000000006,"short_int","2010-08-12-N-010",432168.4404,6504076.984,"7:07:29",3,589.9565919,-20.65911128,"BL-Blowing"
"107",529.959252026686,NA,158.999999999996,"long_int","2010-08-13-N-035",423789.8356,6512972.575,"14:04:16",1,2485.458172,0.046104808,"BL-Blowing"
"108",409.324804773035,NA,178.999999999999,"long_int","2010-08-15-K-062",438285.7585,6482813.332,"16:25:22",1,992.1091078,30.12549115,"BL-Blowing"
"109",870.699185129942,NA,123.999999999994,"long_int","2010-08-15-K-085",507883.5547,6419768.064,"19:46:10",1,1992.669867,40.10029383,"BL-Blowing"
"110",270.092364779037,NA,160.999999999996,"long_int","2010-08-18-N-032",438791.1437,6484669.964,"15:25:53",1,1985.874074,-15.07891472,"BL-Blowing"
"111",568.632742561478,NA,228.000000000004,"long_int","2010-09-20-N-012",412285.5151,6525838.446,"8:51:46",1,1983.744757,0.057765284,"BL-Blowing"
"112",766.121515924178,2.54808452799761,190.000000000004,"long_int","2011-06-19-N-033",439315.2638,6487296.303,"15:32:26",2,2090.975858,-20.03106811,"DF-Dive-fluke-up"
"113",204.48697439557,NA,123,"long_int","2011-06-26-N-002",437822.5295,6487722.545,"7:24:31",1,1491.588839,-10.13442326,"BL-Blowing"
"114",17.1562248176765,-0.950935504601666,16.9999999999995,"short_int","2011-06-26-N-002",437824.9201,6487518.072,"7:26:34",3,450.3098984,-40.91551044,"BL-Blowing"
"115",480.710157575269,NA,145,"long_int","2011-07-08-N-054",437896.8778,6492037.817,"18:14:34",1,2485.267809,5.099038913,"BL-Blowing"
"116",159.921353912503,NA,26.0000000000009,"short_int","2011-07-10-N-011",437817.0217,6485972.851,"7:15:04",1,790.8881386,-4.911287808,"BL-Blowing"
"117",72.493470078359,-1.29468290480072,29.9999999999983,"short_int","2011-07-10-N-011",437828.1313,6486132.386,"7:15:30",2,728.0168714,0.157402538,"BL-Blowing"
"118",90.2445041664043,NA,29.0000000000013,"short_int","2011-07-10-N-018",437382.6402,6489076.416,"7:22:28",1,628.1336778,-55.55365052,"BL-Blowing"
"119",490.855937881751,NA,336.000000000001,"long_int","2011-07-17-N-002",439032.6162,6482144.555,"6:57:56",1,2391.619698,10.08383613,"BL-Blowing"
"120",148.794223096455,0.0125954278637566,143,"long_int","2011-07-17-N-002",439379.2452,6482574.651,"7:04:22",3,991.547702,10.20221364,"DF-Dive-fluke-up"
"121",1466.44974849693,NA,288.000000000007,"long_int","2011-07-22-N-035",426978.0148,6509921.918,"16:58:28",1,4485.722023,10.07100656,"BL-Blowing"
"122",50.8476885244638,-0.472834271863817,28.0000000000044,"short_int","2011-07-22-N-046",438574.1317,6484839.028,"18:18:05",2,346.167053,-30.81136818,"BL-Blowing"
"123",2025.76058290025,NA,356.999999999998,"long_int","2011-08-03-N-003",437293.9018,6486896.677,"6:38:51",1,4984.561453,-4.992426101,"BL-Blowing"
"124",544.676186601076,0.184938076239949,200.000000000003,"long_int","2011-08-03-N-003",438647.8543,6485389.853,"6:44:48",2,1485.675654,15.22721998,"BL-Blowing"
"125",32.5490892685147,NA,27.999999999998,"short_int","2011-08-03-N-024",436399.9898,6506439.895,"14:09:29",1,892.6453848,-30.37985521,"BL-Blowing"
"126",702.019674850809,NA,163,"long_int","2011-08-24-N-002",438084.4103,6482309.071,"6:40:11",1,3984.672377,0.028758089,"BL-Blowing"
"127",638.932472414058,-0.170874342119707,163,"long_int","2011-08-24-N-002",438661.6515,6481909.541,"6:42:54",2,1984.644757,0.057739088,"BL-Blowing"
"128",648.409678989836,1.50572138188171,138.999999999999,"long_int","2011-08-24-N-004",438473.4472,6482681.829,"6:44:23",2,1984.879068,5.09600511,"DF-Dive-fluke-up"
"129",2188.56252072522,0.371408942766377,360.999999999996,"long_int","2011-09-02-N-005",410423.471,6524544.417,"8:36:18",2,1986.019363,10.12946291,"DF-Dive-fluke-up"
"130",742.666024795117,NA,159.999999999999,"long_int","2012-05-13-N-010",427419.6987,6510909.3,"7:59:01",1,2991.629985,10.06702169,"BL-Blowing"
"131",551.926049760079,2.53165550200832,194.999999999999,"long_int","2012-05-27-N-004",438019.7729,6487091.173,"6:57:45",2,1591.110252,0.072019892,"DN-Dive-no-fluke"
"132",41.2230255683065,0.338562554648128,27.999999999998,"short_int","2012-05-27-N-004",438351.4364,6487587.02,"7:02:49",4,332.0521037,61.48922453,"BL-Blowing"
"133",1304.16810699509,NA,120.999999999997,"long_int","2012-06-04-N-033",432891.7,6502292.408,"18:06:29",1,3968.330008,5.097927229,"BL-Blowing"
"134",1218.45423642962,2.09404904780827,326.999999999997,"long_int","2012-06-04-N-033",432703.358,6503561.276,"18:09:11",3,1767.590362,-10.05299388,"DF-Dive-fluke-up"
"135",70.3702161228046,-0.550946320955504,28.9999999999949,"short_int","2012-06-04-N-033",433726.9543,6502900.306,"18:14:38",4,974.489774,-46.16833333,"BL-Blowing"
"136",1572.65730158481,NA,322.999999999999,"long_int","2012-07-20-N-002",437382.9071,6488900.799,"7:22:14",1,4985.359603,4.991625983,"BL-Blowing"
"137",553.753639892842,2.27435923340302,218.999999999999,"long_int","2012-08-26-N-024",439734.2036,6493224.05,"15:42:28",2,3991.017,-4.982420172,"DF-Dive-fluke-up"
"138",153.1670444575,-1.39534238628763,20.9999999999937,"short_int","2012-09-11-N-022",433693.6521,6508955.481,"18:12:28",2,634.7260903,15.55287796,"BL-Blowing"
"139",227.91865057084,NA,276.999999999995,"long_int","2013-05-14-N-019",438671.0804,6484940.142,"16:54:49",1,3985.552049,-4.989274705,"BL-Blowing"
"140",324.659187795892,NA,129.999999999998,"long_int","2013-06-03-N-003",410018.0451,6525168.243,"7:45:48",1,3969.064431,0.057742362,"BL-Blowing"
"141",396.915120646784,-0.392646635203071,136.000000000002,"long_int","2013-06-03-N-003",409778.4848,6525387.365,"7:47:58",2,2969.052581,0.07719068,"BL-Blowing"
"142",708.352594966914,0.62184246627004,139.999999999999,"long_int","2013-06-03-N-003",409558.1885,6525854.495,"7:51:18",4,1471.135757,15.46195923,"BL-Blowing"
"143",449.083076408235,NA,142,"long_int","2013-06-04-S-016",438937.2782,6478343.25,"7:08:50",1,2988.759287,-40.15536544,"BL-Blowing"
"144",134.253976689835,-2.35389448524862,29.9999999999983,"short_int","2013-06-04-S-016",438906.9367,6478576.259,"7:13:24",4,1997.791509,-85.39177532,"BL-Blowing"
"145",64.390859297087,1.66552924046267,22.0000000000034,"short_int","2013-06-07-N-004",421151.6092,6516115.967,"8:42:10",2,1027.379312,30.50092517,"BL-Blowing"
"146",28.0842172635998,-2.88437309535462,23.0000000000004,"short_int","2013-06-17-N-005",437608.5797,6485208.843,"9:40:18",3,769.3825863,-51.63996557,"BL-Blowing"
"147",622.5929114557,NA,169.000000000004,"long_int","2013-06-18-N-002",437865.7555,6486297.418,"10:15:51",1,3283.766518,0.034896381,"BL-Blowing"
"148",384.976747429464,2.56109615933239,23.9999999999974,"short_int","2013-06-18-N-002",437385.6587,6485901.023,"10:18:40",2,1984.040067,-20.10573351,"BL-Blowing"
"149",667.042050821153,1.66900462703046,140.000000000003,"long_int","2013-06-18-N-002",437768.3216,6485943.168,"10:19:04",3,1683.632852,-10.02870467,"DF-Dive-fluke-up"
"150",297.209308076963,NA,341.000000000005,"long_int","2013-06-18-N-029",439084.4621,6483617.856,"18:52:56",1,3483.802954,-15.03718544,"BL-Blowing"
"151",537.868013546348,1.82718259783056,173.999999999995,"long_int","2013-06-18-N-029",438789.9587,6483657.87,"18:58:37",2,1183.707936,0.096807337,"BL-Blowing"
"152",1696.9847025312,NA,233.000000000001,"long_int","2013-06-26-N-046",438604.8745,6485537.136,"14:01:06",1,3967.242005,-4.983359427,"BL-Blowing"
"153",72.4363020664846,0.676818638947511,16.0000000000025,"short_int","2013-06-26-N-046",438273.2034,6487201.393,"14:04:59",2,711.33267,0.322190074,"BL-Blowing"
"154",58.8311289005853,0.143706696091785,15.9999999999961,"short_int","2013-06-26-N-046",438181.194,6487321.519,"14:05:46",4,307.4945414,17.28788159,"BL-Blowing"
"155",34.0854290985505,-1.25155519782883,12.0000000000019,"short_int","2013-06-26-N-046",438147.7914,6487369.948,"14:06:02",5,192.3090555,41.54433355,"BL-Blowing"
"156",87.7629810216165,NA,24.0000000000006,"short_int","2013-06-28-N-014",437589.2875,6490354.505,"7:46:29",1,1083.996845,-20.19352435,"BL-Blowing"
"157",20.7796877442563,2.89937429488665,16.9999999999995,"short_int","2013-06-28-N-014",437636.6234,6490428.408,"7:46:53",2,972.9860703,-20.2156042,"BL-Blowing"
"158",25.7572984803524,2.94558378650946,4.00000000000063,"short_int","2013-07-07-S-011",444450.1703,6475363.921,"5:56:40",2,160.4244753,0.357153424,"DF-Dive-fluke-up"
"159",400.93927595085,NA,600.000000000001,"long_int","2013-07-12-N-003",438541.0719,6484883.903,"7:16:22",1,3983.659252,-4.991651326,"BL-Blowing"
"160",228.612492218862,NA,131.000000000004,"long_int","2013-07-12-N-030",420651.124,6516408.7,"14:41:39",1,1984.342924,10.13809594,"BL-Blowing"
"161",11.0366836503378,0.683536745689039,25.0000000000007,"short_int","2013-07-12-N-038",438726.1785,6487889.641,"15:56:48",3,805.964383,-20.26028459,"BL-Blowing"
"162",178.824503167824,-1.58500914330883,21.0000000000001,"short_int","2013-07-14-N-036",438045.1294,6484765.208,"13:48:22",3,630.5515831,47.30727227,"BL-Blowing"
"163",544.106684478405,1.13328606837551,275.999999999998,"long_int","2013-07-14-N-040",439916.543,6481226.718,"13:54:24",2,2967.840358,-10.03089169,"DF-Dive-fluke-up"
"164",848.344614078649,NA,280.000000000002,"long_int","2013-07-14-S-034",429443.1592,6504667.996,"7:28:33",1,2993.431642,-20.06584065,"BL-Blowing"
"165",287.758663299593,-0.243998538324267,120.000000000006,"long_int","2013-07-15-N-045",438801.6114,6483455.975,"18:34:38",3,1067.738166,0.214644059,"DN-Dive-no-fluke"
